sku,warehouse_code,qty_on_hand,qty_reserved
SKU_0309,SIN01,234,180
SKU_0143,MXP01,329,198
SKU_0148,NRT01,116,99
SKU_0368,JFK01,303,179
SKU_0159,DXB01,347,116
SKU_0269,ICN01,485,127
SKU_0355,MXP01,449,181
SKU_0028,MXP01,438,120
SKU_0483,SIN01,66,33
SKU_0326,ICN01,368,70
SKU_0468,MAD01,246,38
SKU_0403,BER01,108,84
SKU_0397,MXP01,52,36
SKU_0408,CDG01,209,115
SKU_0322,LHR01,11,0
SKU_0306,MAD01,226,143
SKU_0150,MXP01,88,78
SKU_0261,JFK01,296,145
SKU_0127,LHR01,194,162
SKU_0133,JFK01,62,8
SKU_0258,JFK01,216,91
SKU_0260,DXB01,491,154
SKU_0241,CDG01,495,196
SKU_0093,MXP01,264,151
SKU_0037,CDG01,175,164
SKU_0187,SIN01,288,146
SKU_0291,LHR01,185,135
SKU_0381,MXP01,117,33
SKU_0348,DXB01,456,96
SKU_0180,LHR01,333,37
SKU_0395,NRT01,146,52
SKU_0471,MXP01,140,14
SKU_0367,SIN01,354,6
SKU_0264,CDG01,212,166
SKU_0111,LHR01,481,187
SKU_0123,MAD01,168,156
SKU_0333,MXP01,122,41
SKU_0478,SIN01,276,191
SKU_0402,MXP01,438,83
SKU_0318,CDG01,380,120
SKU_0108,LHR01,79,66
SKU_0084,LHR01,326,25
SKU_0407,LHR01,93,50
SKU_0158,JFK01,48,42
SKU_0262,LHR01,163,65
SKU_0135,SIN01,499,141
SKU_0259,MAD01,111,98
SKU_0238,SIN01,26,15
SKU_0030,DXB01,438,7
SKU_0228,CDG01,318,94
SKU_0485,CDG01,326,102
SKU_0478,JFK01,197,171
SKU_0112,JFK01,227,103
SKU_0092,MXP01,365,168
SKU_0448,NRT01,66,54
SKU_0172,SIN01,78,0
SKU_0491,SIN01,310,134
SKU_0027,MXP01,378,125
SKU_0021,SIN01,262,159
SKU_0406,NRT01,225,154
SKU_0474,BER01,255,126
SKU_0340,DXB01,83,83
SKU_0098,MAD01,301,159
SKU_0223,NRT01,199,144
SKU_0413,LHR01,415,132
SKU_0154,DXB01,141,68
SKU_0056,MAD01,279,172
SKU_0115,BER01,468,92
SKU_0232,MAD01,78,67
SKU_0085,ICN01,413,37
SKU_0381,MAD01,9,1
SKU_0215,DXB01,53,20
SKU_0309,MAD01,160,42
SKU_0247,MXP01,228,139
SKU_0426,SIN01,490,25
SKU_0185,DXB01,376,57
SKU_0099,NRT01,36,28
SKU_0294,NRT01,36,13
SKU_0329,MXP01,418,126
SKU_0169,ICN01,450,16
SKU_0316,ICN01,383,24
SKU_0440,SIN01,194,92
SKU_0323,CDG01,72,14
SKU_0411,CDG01,410,5
SKU_0403,CDG01,87,63
SKU_0271,ICN01,157,156
SKU_0395,MAD01,182,133
SKU_0344,SIN01,28,24
SKU_0003,DXB01,61,40
SKU_0065,DXB01,116,65
SKU_0460,CDG01,447,166
SKU_0403,ICN01,98,12
SKU_0315,CDG01,169,55
SKU_0455,SIN01,427,98
SKU_0307,NRT01,87,71
SKU_0240,MAD01,464,175
SKU_0086,SIN01,146,98
SKU_0397,JFK01,91,50
SKU_0467,BER01,346,156
SKU_0244,DXB01,99,11
SKU_0040,DXB01,83,33
SKU_0389,NRT01,275,125
SKU_0069,CDG01,227,83
SKU_0229,MAD01,98,93
SKU_0050,MXP01,440,166
SKU_0154,MXP01,334,155
SKU_0138,LHR01,303,180
SKU_0290,ICN01,337,69
SKU_0162,MAD01,497,194
