order_id,order_item_id,sku,qty,unit_price,discount_amount,tax_amount
100000,1,SKU_0336,3,3703.98,0.0,2322.34
100000,2,SKU_0433,2,4194.47,483.07,1702.95
100001,1,SKU_0367,2,1792.79,0.0,574.17
100001,2,SKU_0182,3,1269.5,0.0,769.8
100001,3,SKU_0024,1,3462.36,427.0,576.2
100002,1,SKU_0097,1,3920.75,231.67,821.29
100002,2,SKU_0098,3,1185.96,0.0,767.07
100003,1,SKU_0396,2,361.84,0.0,157.64
100004,1,SKU_0272,3,2358.12,330.9,1524.26
100005,1,SKU_0355,3,2403.73,0.0,1321.41
100005,2,SKU_0308,3,4273.38,323.63,2373.26
100006,1,SKU_0141,2,2312.45,336.66,963.31
100006,2,SKU_0071,2,4331.45,0.0,1824.27
100007,1,SKU_0365,3,1543.77,0.0,799.28
100007,2,SKU_0366,2,3907.67,0.0,1710.62
100007,3,SKU_0333,1,2092.53,0.0,423.99
100008,1,SKU_0288,2,1668.07,235.92,668.74
100008,2,SKU_0458,3,74.22,0.0,42.61
100008,3,SKU_0013,2,3280.03,0.0,1154.69
100009,1,SKU_0147,3,1304.74,0.0,674.19
100009,2,SKU_0278,1,2647.06,0.0,541.44
100010,1,SKU_0122,3,1966.65,0.0,1189.29
100010,2,SKU_0025,2,1723.47,0.0,751.26
100010,3,SKU_0028,1,2182.01,67.27,457.78
100010,4,SKU_0467,3,3039.43,0.0,1883.55
100011,1,SKU_0151,2,1624.8,0.0,707.6
100011,2,SKU_0377,3,2427.36,0.0,1408.32
100012,1,SKU_0083,3,5206.55,5.4,3164.25
100012,2,SKU_0080,1,1601.67,0.0,330.62
100013,1,SKU_0252,3,938.61,0.0,539.3
100013,2,SKU_0490,1,412.76,0.0,76.34
100013,3,SKU_0275,2,1658.9,0.0,662.9
100014,1,SKU_0185,2,1951.08,220.52,857.69
100014,2,SKU_0422,3,1217.0,122.45,636.81
100014,3,SKU_0329,3,2238.67,0.0,1349.6
100015,1,SKU_0196,1,2054.44,0.0,331.76
100015,2,SKU_0265,2,1184.32,90.87,385.21
100015,3,SKU_0460,3,1333.1,0.0,680.06
100016,1,SKU_0321,1,2014.99,0.0,426.97
100017,1,SKU_0428,1,3265.96,406.17,649.25
100017,2,SKU_0482,1,2518.91,58.94,511.37
100017,3,SKU_0020,1,1422.88,0.0,275.31
100017,4,SKU_0295,1,3634.92,222.85,719.03
100018,1,SKU_0162,1,3226.3,0.0,640.37
100018,2,SKU_0317,1,3105.01,0.0,563.44
100018,3,SKU_0258,1,2376.3,0.0,420.35
100018,4,SKU_0475,2,2295.25,0.0,865.03
100019,1,SKU_0070,3,1615.27,0.0,1054.49
100019,2,SKU_0074,2,1036.95,0.0,450.96
100020,1,SKU_0284,3,730.9,5.54,421.5
100021,1,SKU_0157,1,550.25,0.0,95.03
100022,1,SKU_0083,1,3757.2,0.0,626.99
100022,2,SKU_0344,3,5079.94,648.9,3027.85
100023,1,SKU_0149,3,498.95,8.25,324.95
100024,1,SKU_0066,3,3454.67,0.0,2217.97
100024,2,SKU_0163,2,1876.81,0.0,756.76
100024,3,SKU_0079,3,4766.23,577.64,2432.47
100025,1,SKU_0127,1,4142.88,0.0,871.69
100025,2,SKU_0069,3,1058.52,139.51,592.95
100025,3,SKU_0397,2,2785.74,0.0,1172.84
100026,1,SKU_0457,3,911.22,0.0,556.7
100026,2,SKU_0457,1,1284.03,122.02,264.71
100027,1,SKU_0465,1,2155.82,176.2,429.51
100027,2,SKU_0077,2,3629.55,0.0,1219.77
100028,1,SKU_0204,2,2702.65,0.0,1110.42
100029,1,SKU_0229,1,2211.73,0.0,451.54
100029,2,SKU_0248,2,2008.76,0.0,657.96
100030,1,SKU_0120,1,1629.92,0.0,298.74
100030,2,SKU_0470,2,4755.36,0.0,1580.62
100030,3,SKU_0496,3,571.77,0.0,334.0
100031,1,SKU_0193,3,413.99,0.0,237.22
100031,2,SKU_0193,1,446.07,0.0,84.4
100032,1,SKU_0455,3,2396.27,317.16,1221.64
100032,2,SKU_0040,3,1322.64,0.0,672.33
100032,3,SKU_0309,3,1571.18,156.15,983.58
100032,4,SKU_0369,1,4551.38,0.0,889.56
100033,1,SKU_0012,1,367.35,0.0,61.75
100033,2,SKU_0263,1,5429.84,0.0,952.91
100033,3,SKU_0093,3,758.69,0.0,484.14
