sku,collection,category,price_list
SKU_0001,Lunettes,Veste,173.8
SKU_0002,Accessoires,Chaussure,1154.89
SKU_0003,Lunettes,Veste,3399.66
SKU_0004,Horlogerie,Veste,2972.94
SKU_0005,Haute Couture,Robe,513.79
SKU_0006,Prêt-à-porter,Bijou,3029.99
SKU_0007,Horlogerie,Chaussure,3594.3
SKU_0008,Lunettes,Bijou,2126.62
SKU_0009,Beauté,Parfum,4056.68
SKU_0010,Haute Couture,Sac,3505.79
SKU_0011,Accessoires,Parfum,819.62
SKU_0012,Accessoires,Veste,509.09
SKU_0013,Haute Couture,Montre,4245.1
SKU_0014,Horlogerie,Parfum,4045.28
SKU_0015,Lunettes,Ceinture,2704.33
SKU_0016,Beauté,Veste,2782.6
SKU_0017,Lunettes,Montre,2907.89
SKU_0018,Lunettes,Veste,276.83
SKU_0019,Prêt-à-porter,Parfum,4926.85
SKU_0020,Prêt-à-porter,Veste,1931.62
SKU_0021,Beauté,Montre,855.14
SKU_0022,Accessoires,Chaussure,3367.37
SKU_0023,Lunettes,Veste,3065.2
SKU_0024,Prêt-à-porter,Bijou,3659.18
SKU_0025,Prêt-à-porter,Ceinture,1928.3
SKU_0026,Lunettes,Bijou,1137.1
SKU_0027,Accessoires,Robe,1183.79
SKU_0028,Haute Couture,Montre,2035.77
SKU_0029,Haute Couture,Chaussure,4570.02
SKU_0030,Horlogerie,Montre,1102.5
SKU_0031,Beauté,Lunettes,4429.18
SKU_0032,Lunettes,Ceinture,757.21
SKU_0033,Prêt-à-porter,Chaussure,3737.7
SKU_0034,Horlogerie,Parfum,3747.72
SKU_0035,Beauté,Lunettes,1841.88
SKU_0036,Prêt-à-porter,Bijou,2492.9
SKU_0037,Haute Couture,Veste,806.56
SKU_0038,Prêt-à-porter,Lunettes,3002.22
SKU_0039,Beauté,Lunettes,2999.65
SKU_0040,Beauté,Bijou,1294.5
SKU_0041,Horlogerie,Robe,3417.4
SKU_0042,Haute Couture,Bijou,3766.85
SKU_0043,Lunettes,Montre,602.18
SKU_0044,Beauté,Sac,2295.93
SKU_0045,Lunettes,Parfum,4860.85
SKU_0046,Prêt-à-porter,Bijou,4567.51
SKU_0047,Lunettes,Parfum,4216.26
